zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
68920,763,47326,26.9,14.1,126,40.154543,-99.339914
68922,551,49432,23.6,19.4,114,40.335199,-99.896424
68923,39,59375,15.3,52.6,2,40.359107,-99.468322
68924,492,59808,12.6,17.0,52,40.495556,-99.118997
68925,231,64306,10.4,33.3,8,40.428761,-98.430108
68926,356,35556,35.6,15.3,30,40.105983,-99.840291
68927,557,59821,22.8,20.3,50,40.499975,-99.633924
68928,156,56346,19.2,23.1,16,40.284345,-98.60684
68930,578,49444,22.3,21.2,60,40.284768,-98.415566
68932,189,42132,25.9,22.7,22,40.315286,-98.722738
68933,413,56477,19.0,19.7,50,40.517843,-98.022998
68934,48,58750,22.9,32.7,10,40.340796,-98.135089
68935,308,48152,30.1,22.9,44,40.378358,-97.962002
68936,131,40865,24.4,24.8,4,40.328446,-99.771423
68937,723,58750,15.9,18.2,108,40.59096,-99.88188
68938,242,52143,27.2,16.9,28,40.415596,-98.117141
68939,529,47132,20.0,13.3,82,40.101287,-98.968918
68940,240,70833,1.2,29.5,10,40.547151,-99.246818
68941,329,68393,9.7,22.0,22,40.457212,-98.27809
68942,151,45750,29.7,17.6,14,40.096776,-98.302168
68943,125,50234,30.4,21.1,16,40.05737,-97.90725
68944,486,49457,19.8,16.1,26,40.643601,-98.094793
68945,103,54432,19.4,49.7,6,40.568226,-98.777823
68946,9,-,33.3,77.5,2,40.111639,-99.985789
68947,313,59107,10.9,21.1,30,40.280096,-99.047663
68948,145,40341,38.6,21.1,28,40.318263,-100.021482
68949,2783,53114,23.7,17.5,556,40.427061,-99.38895
68950,172,58947,16.8,22.1,16,40.461783,-98.669439
68952,49,42813,28.6,32.2,2,40.07628,-98.662556
68954,21,48472,0,50.8,2,40.622945,-98.234368
68955,769,69875,12.5,22.8,56,40.595563,-98.54278
68956,512,59444,16.7,17.4,46,40.636323,-98.691023
68957,282,54750,19.5,13.3,36,40.273952,-98.246364
68958,249,62375,11.6,26.8,30,40.51881,-99.497357
68959,1683,50080,22.9,21.2,240,40.483596,-98.917118
68960,76,34375,17.1,10.1,4,40.096651,-99.136253
68961,366,45147,19.2,11.7,34,40.208997,-98.043802
68966,355,41354,26.5,13.8,28,40.159905,-99.467272
68967,401,43036,21.0,9,70,40.254035,-99.624404
68969,27,62292,11.1,55.9,2,40.303874,-99.283398
68970,615,36442,35.3,12.3,102,40.110321,-98.509567
68971,183,39063,25.7,12.5,28,40.110633,-99.247931
68972,62,30000,46.7,11.6,2,40.118855,-98.810982
68973,152,57500,13.2,21.7,32,40.454782,-98.56483
68974,81,49375,17.3,47.6,20,40.125862,-97.867653
68975,45,82583,0,38.5,6,40.61881,-97.948619
68976,128,85000,9.4,56.6,6,40.59032,-99.727778
68977,112,41875,37.5,21.7,8,40.069843,-99.630867
68978,997,37591,27.9,7.2,254,40.06666,-98.0975
68979,807,59076,18.4,20.3,170,40.589677,-97.851484
68980,157,57321,6.3,13.9,34,40.676614,-98.250701
68981,140,55500,25.0,12.5,10,40.278734,-98.896151
68982,287,55956,13.9,25.1,48,40.332296,-99.180146
69001,3878,41386,27.8,14.8,754,40.246709,-100.643942
69020,220,51250,19.5,18.4,26,40.197245,-100.300903
69021,652,45375,19.2,11.4,108,40.14161,-101.540343
69022,785,49583,18.1,16.8,106,40.379758,-100.191949
69023,150,40938,32,19.2,10,40.479414,-101.94008
69024,518,51786,22.0,15.9,56,40.232726,-100.847051
69025,437,50063,25.6,12.3,64,40.620868,-100.50948
69026,82,27083,43.8,28.7,6,40.046771,-100.429674
69027,22,-,68.2,49.6,12,40.427683,-101.5428
69028,329,59375,17.9,19.3,54,40.635927,-100.054271
69029,158,57955,14.5,13.5,26,40.708969,-100.252969
69030,100,45000,35,12.9,8,40.211719,-101.919863
69032,187,37212,28.3,8.8,22,40.570659,-101.014404
69033,1085,57386,19.1,17.3,244,40.559381,-101.67601
69034,408,65833,15.7,21.7,42,40.250769,-100.433692
69038,240,54167,14.1,18.6,16,40.58732,-100.745866
69039,36,64167,13.9,39.5,4,40.696278,-100.391689
69040,312,41364,29.2,10.8,22,40.350306,-101.125171
69042,25,46417,8,54.5,2,40.476668,-100.405251
69043,209,44844,26.9,11.3,24,40.128711,-101.255201
69044,354,32115,35.5,6.8,36,40.130145,-101.016489
69045,508,49318,19.3,13.0,62,40.465392,-101.369178
69046,94,50833,9.6,7.5,8,40.076407,-100.086526
69101,12430,54311,22.5,17.4,3680,41.141895,-100.800597
69120,529,52578,25.7,16.1,72,41.397011,-100.218112
69121,159,39375,37.1,6.8,20,41.513604,-101.688787
69122,284,52500,16.6,13.3,44,41.131252,-102.102414
69123,378,57222,18.6,23.0,20,41.01144,-100.371847
69125,156,37708,27.0,12.2,6,41.62649,-102.824548
69127,414,56875,18.8,23.9,44,41.142762,-101.932112
69128,87,-,17.2,51.4,4,41.22667,-103.928819
69129,549,55048,22.8,19.5,64,41.113295,-102.409026
69130,2154,44385,23.0,14.3,330,40.894116,-99.952965
69131,248,58438,18.1,19.8,14,41.407395,-102.973516
69133,183,39107,24.7,23.5,8,41.188423,-103.460347
69134,172,62386,12.8,29.6,20,40.835298,-101.376254
69138,1628,59113,16.5,24.8,346,40.995816,-100.176551
69140,789,61250,21.0,20.9,178,40.850303,-101.773477
69141,164,45000,27.5,22.3,12,41.306523,-102.955003
69142,34,-,38.2,63.4,4,41.913938,-100.304871
69143,565,61719,10.8,20.7,62,41.211576,-101.042099
69144,59,-,40.7,55.2,12,41.272153,-101.537461
69145,1323,43650,26.9,10.8,240,41.246022,-103.667696
69146,197,31835,32.5,10.7,16,41.312458,-101.773391
69147,311,38603,29.9,17.9,24,41.57408,-102.095219
69148,63,62813,7.9,16.9,10,41.590372,-102.598259
69149,325,60893,16.7,20.4,12,41.221745,-102.677147
69150,146,36667,21.2,23.1,40,40.8477,-101.543056
69151,354,61974,15.3,19.4,14,41.090203,-100.495252
69152,356,43500,20.3,15.0,64,42.165866,-101.215036
