id,state,county,rate
2723,6672,37617,37
2724,7621,37932,37.2
2725,933,70183,18
2726,6062,75154,13.8
2738,1897,76576,15
2739,2429,85870,8
2740,18406,37784,36.1
2743,4033,69402,14.4
2744,4654,33125,37.5
2745,10119,56277,23.2
2746,6218,32554,40.8
2747,6970,75891,17.2
2748,4733,70828,18.7
2760,10049,85864,12.7
2762,3474,93889,13.2
2763,693,106118,5.1
2764,1438,82130,9.6
2766,6532,102869,8.8
2767,4838,93125,12.7
2769,4048,96098,6.7
2770,1798,102227,5.4
2771,5886,86014,11.3
2777,6223,81469,15
2779,2388,89597,8.2
2780,19934,53201,23.9
2790,6239,80569,15.7
2791,153,74009,24.2
2802,324,51582,0
2804,911,92961,4.8
2806,6075,117408,7.7
2807,443,76174,17.2
2808,860,76848,12.7
2809,8489,65890,18.3
2812,418,123047,0
2813,3271,72648,14.6
2814,2750,93468,12.7
2815,87,214205,18.4
2816,13152,67115,14.7
2817,2178,102616,2.5
2818,7567,97800,12.4
2822,2442,80893,15.4
2825,2081,79870,7.2
2826,357,70760,11.5
2827,808,87500,10.9
2828,3002,79103,13.5
2830,2203,67589,20.5
2831,1170,91346,9.1
2832,1923,85324,13
2833,385,84770,20.6
2835,2303,105201,9.1
2836,60,-,0
2837,1653,69620,13.4
2838,1414,60278,21.3
2839,714,49958,21.3
2840,10531,65317,23.5
2841,0,-,0
2842,6824,65851,16.5
2852,8928,83320,17
2857,3454,82621,11.4
2858,217,-,0
2859,2473,76146,13.1
2860,17926,40455,34.3
2861,9831,55683,20.2
2863,6310,30794,40.3
2864,13495,81810,17.2
2865,6199,77817,13
2871,7121,91892,12.5
2872,148,-,0
2873,137,73991,0
2874,2223,133655,4.8
2875,207,100673,6.3
2876,90,21667,60
2878,6841,75716,14
2879,8337,79537,15.7
2881,1062,80208,24.9
2882,6025,65385,21.1
2885,4957,55689,23.4
2886,12509,70196,22.5
2888,8327,67579,17.1
2889,11312,70955,17.4
2891,9253,62743,22.1
2892,1853,94176,3.4
2893,13135,51740,24.9
2894,271,81417,20.6
2895,17054,38340,34.3
2896,4446,81987,15
2898,599,82996,0
2903,4802,30711,45.9
2904,12755,41054,29.8
2905,8796,41050,33.4
2906,10941,77411,20.4
2907,8865,35512,38.1
2908,12204,45042,27.2
2909,14790,33661,40.7
2910,8128,62941,15.7
2911,6655,57019,21.4
2912,0,-,0
2914,8807,47985,26.7
2915,7329,59301,24.1
2916,3749,70184,16.2
2917,4527,83010,12.8
2919,11992,60574,19.1
2920,14064,53159,22.1
2921,4489,103838,12.3
3031,4081,125445,6.2
3032,1984,114041,5.8
3033,1750,127222,1.6
3034,1534,95430,8.7
3036,1694,122083,2.6
3037,1611,92598,5.1
3038,13154,68322,11.4
3042,2668,74268,13.3
3043,639,93281,12.5
3044,1700,91486,4.6
3045,5197,83556,10.4
3046,977,102375,3.6
3047,642,71429,15.7
3048,1411,70529,16
3049,3010,126379,6.3
3051,8955,93181,8.3
3052,3101,93351,7.7
3053,8883,97604,7.3
3054,9745,97400,8.4
3055,5989,73557,13.6
3057,880,104327,5.9
3060,11889,49469,22.2
3062,11100,88967,9.9
3063,6650,79116,14.2
3064,5735,65988,21.4
3070,1851,104754,3.9
3071,1792,84477,6.9
3076,4575,102577,5.8
3077,4033,67303,13.4
3079,11177,81202,13.8
3082,657,85139,6.2
3084,519,79821,9.1
3086,1557,74198,4.9
3087,5093,117468,5.7
3101,1663,29943,48
3102,13248,52677,21.3
3103,13984,53778,22.1
3104,13628,62251,17.3
3106,5174,85952,11.2
3109,4302,82075,10.4
3110,7752,127945,6.2
3215,86,98125,0
3216,967,63984,15.2
3217,924,42300,27.5
3218,280,108958,11.4
3220,2821,64926,18
3221,886,62381,13.3
3222,2272,55424,18.6
3223,1701,63906,17.6
3224,940,81818,12.5
3225,1368,70000,9.9
3226,419,66250,11.4
3227,464,73750,13.1
3229,2137,84456,7
3230,587,62466,10.4
3231,109,84097,4.6
3233,48,107143,18.8
3234,1792,67008,12.9
3235,3599,48429,24.9
3237,787,74460,8.1
3240,492,54000,19.1
3241,349,65375,12.3
3242,1666,69609,19.4
3243,392,73971,6.9
3244,3122,69438,11.4
3245,746,68409,15.9
3246,6904,52702,23.1
3249,3082,73660,11.9
3251,560,50238,25.9
3253,2599,68240,21.1
3254,1785,75507,14.9
3255,853,89279,7.3
3256,857,75030,19.8
3257,1675,73068,13.5
3258,984,80147,9
3259,142,52250,6.3
3260,303,99375,5.3
3261,1598,86632,8
3262,434,54224,26.5
3263,1636,49256,29.7
3264,2210,41688,36.9
3266,934,56767,19.4
3268,468,73929,12.8
3269,1118,77000,8.4
3273,150,89423,6.7
3275,4383,71576,14.3
3276,3321,59983,15.3
3278,1068,76406,11.9
3279,272,50833,22.7
3280,556,73333,14
3281,3211,90024,10.2
3282,325,63295,18.1
3284,320,76364,10.3
3285,861,63702,12.5
3287,628,66250,12.3
3290,1732,104063,4.2
3291,16,-,68.8
3293,78,36894,0
3301,12982,60420,19.3
3303,6185,65879,14.7
3304,2759,109947,9
3307,2071,67072,14.1
3431,10366,55902,24.5
3440,997,62614,18.1
3441,80,36154,21.3
3442,584,59881,10.1
3443,229,81781,5.7
3444,580,71250,15.7
3445,296,60833,17.1
3446,2289,59611,16.6
3447,1005,51767,18.5
3448,289,62813,18.7
3449,790,73409,12.5
3450,437,67266,8.9
3451,1763,57670,27.5
3452,2175,59698,19.7
3455,916,56689,16.6
3456,282,60833,13.2
3457,275,67159,12
3458,3137,77688,13.1
3461,1883,68250,16.6
3462,622,64167,14.4
3464,435,85096,2.1
3465,888,60200,16
3466,605,75296,8.9
3467,643,90438,7.8
3470,2060,54821,24
3561,2663,39504,26.7
3570,3941,37969,31.7
3574,1094,54500,25.5
3575,14,103214,0
3576,1397,49028,26.5
3579,192,44167,31.2
3580,609,72361,10.9
3581,1478,58063,19
3582,1053,39830,27.1
3583,464,56071,21.3
3584,1564,49390,20.3
3585,1026,53654,15.8
3586,287,73854,13.9
3588,704,50375,19
3590,405,32788,41.2
3592,568,41522,22.7
3593,203,70938,10.3
3595,287,57212,11.4
3597,143,27868,48.3
3598,1497,45843,27
3601,193,44861,23.8
3602,1077,64491,16.3
3603,2217,50699,23.8
3605,412,63958,19.6
3607,188,61429,11.7
3608,1176,69375,9.5
3609,314,73654,16.9
3740,277,67188,15.5
3741,1522,64023,12.2
3743,5743,47009,26.8
3745,614,75000,10.4
3746,108,100625,4.7
3748,2090,82950,8.6
3750,250,168100,6.8
3751,231,32361,32
3752,271,60417,8.8
3753,1159,104735,3.2
3754,76,-,43.4
3755,2725,101825,14.8
3765,231,62356,12.5
3766,4226,67597,13.4
3768,661,108558,5.8
3770,147,88438,11.6
3771,316,62500,12.9
3773,3030,59745,17.7
3774,732,54744,19.3
3777,547,81250,12.2
3779,352,69479,11.7
3780,218,-,15.1
3781,773,82802,2.7
3782,1382,69630,17.7
3784,1951,52747,27.5
3785,841,43625,23.1
3801,10497,73561,14.7
3809,1392,74400,13
3810,785,84241,5.6
3811,2679,106938,7.9
3812,321,34561,39.9
3813,1213,60328,10.9
3814,1077,34750,32.9
3816,546,56029,17.6
3817,377,-,56.3
3818,1777,45481,29.3
3819,1608,88485,8.8
3820,13214,65855,17
3823,601,108542,3.5
