intensity,latitude,longitude
290,43.956765,-72.326539
253,44.122587,-72.065912
88,43.918899,-72.268095
124,43.729739,-72.451439
273,44.108949,-72.30073
89,43.151168,-72.569224
280,43.397517,-72.580475
308,43.184942,-72.633977
432,43.231362,-72.791008
984,43.380553,-72.712124
548,43.334435,-72.530792
608,43.395317,-72.496973
173,43.233343,-72.938985
286,43.418436,-72.642552
195,43.135197,-72.546165
392,43.193432,-72.81544
443,43.084054,-72.469725
239,43.321441,-72.802903
635,43.264151,-73.063677
122,43.082047,-73.066766
254,43.245762,-73.002071
83,43.152272,-73.061422
998,42.958719,-73.260755
200,42.820569,-73.274398
1037,42.770286,-73.179047
950,42.97375,-73.07524
304,43.168946,-72.972386
206,42.974544,-72.801051
301,42.777497,-72.794821
348,43.102664,-72.820014
1056,42.987266,-72.684706
357,42.790943,-72.97264
363,42.808047,-73.076277
376,43.082856,-72.681479
840,42.764133,-72.522086
325,43.019478,-72.812148
415,42.975529,-72.864581
73,42.773345,-72.705469
223,43.153086,-72.715918
92,43.000119,-72.946971
435,42.780694,-72.879131
23,42.93522,-72.659896
911,42.882781,-72.893126
0,44.473735,-73.19561
28,44.494527,-73.16527
688,44.957882,-73.291974
357,44.805549,-72.720243
164,44.757187,-72.671334
690,44.649728,-72.896957
31,44.932454,-72.701892
377,44.750291,-72.900865
418,44.801687,-72.967393
495,44.221416,-73.264595
622,44.958733,-72.922009
906,44.717847,-73.307486
736,44.95006,-73.005367
765,44.312539,-72.952108
204,44.871325,-73.3492
323,44.828065,-72.578206
681,44.102761,-73.155209
563,44.241936,-73.194663
423,44.835081,-73.225658
0,44.772921,-73.205391
593,44.889912,-72.963139
32,44.910022,-72.976662
731,44.642247,-73.30774
555,44.210284,-72.993453
301,44.737637,-72.761773
661,44.607422,-73.003642
56,44.34188,-72.499842
432,44.409482,-72.259129
174,44.383292,-72.492477
233,44.166555,-72.3466
474,44.384616,-72.435941
670,44.282307,-72.489262
331,44.723753,-72.610965
144,44.714895,-72.47274
414,44.140286,-72.475659
34,44.535509,-72.52672
635,44.364724,-72.35483
768,44.253995,-72.734479
79,44.167173,-72.653138
842,44.269042,-72.38887
270,44.065108,-72.729625
1144,44.198969,-72.840833
764,44.112526,-72.87403
489,44.076165,-72.422633
895,44.4083,-72.709972
56,44.157314,-72.477642
853,44.54075,-72.471748
189,44.458081,-72.379134
495,44.393305,-72.56349
126,43.434532,-72.797518
395,43.713321,-73.187438
574,43.981724,-73.331937
297,43.619033,-73.013392
333,43.773182,-72.90586
470,43.523441,-72.860171
576,43.342621,-73.000196
25,43.971751,-73.105275
247,43.419653,-72.910801
256,43.694013,-73.080457
132,44.005291,-72.841314
133,43.905329,-72.918171
346,43.657594,-72.784406
365,43.480102,-73.123641
341,43.450789,-72.757786
738,43.53211,-72.9648
492,43.800615,-73.289701
427,43.360927,-73.151758
184,43.804081,-72.836973
705,43.651666,-73.034649
283,43.984937,-72.996775
500,43.879408,-72.831685
460,43.932071,-73.119822
455,43.881953,-73.324504
325,43.750797,-72.760914
