intensity,latitude,longitude
1442,41.458645,-70.612521
930,41.400252,-70.656934
1899,41.772221,-70.762948
10,41.258845,-70.007333
839,41.706756,-70.312489
4267,41.747513,-70.066223
4336,41.659097,-70.346877
1921,41.689343,-69.972382
1556,41.624054,-70.439397
56,41.705726,-70.270928
1514,41.730245,-70.197392
101,41.751246,-70.153472
2446,41.841331,-69.977436
0,41.797941,-69.937327
1512,41.683488,-70.510786
4260,41.711083,-70.057611
74,41.630127,-70.310144
2696,41.670946,-70.41537
6279,41.616801,-70.490097
0,41.875047,-70.003438
2895,41.769125,-69.97358
1468,41.627984,-70.392013
481,41.681474,-70.023529
3202,41.707699,-70.15856
1209,41.716208,-70.363097
48,41.66668,-69.989694
661,41.660103,-70.170681
456,41.675153,-70.109767
135,41.6357,-70.313634
3031,41.70395,-70.231552
1516,41.785113,-71.059047
17094,41.931653,-71.294503
12,41.441295,-70.902217
1303,41.805594,-71.157707
1689,41.760106,-70.972762
2287,41.862486,-71.01169
1897,41.704134,-70.752201
2429,41.665794,-70.814531
6970,41.664711,-71.015699
4733,41.553084,-70.971453
10049,41.972567,-71.334375
3474,42.012838,-71.336188
693,41.966866,-71.308574
1438,41.851929,-71.153598
6532,41.965341,-71.18178
4838,41.940996,-71.048499
4048,41.846878,-71.24487
1798,41.760864,-70.838956
5886,41.839798,-71.318047
6223,41.758163,-71.214181
2388,41.838061,-71.077615
6239,41.599176,-71.082371
6075,41.734753,-71.319732
8489,41.67573,-71.273331
418,41.478948,-71.652334
2750,41.895948,-71.700406
87,41.77463,-71.647954
13152,41.696499,-71.622662
2178,41.637083,-71.678361
7567,41.642919,-71.485719
2442,41.570323,-71.626992
2081,41.782067,-71.726833
808,41.698748,-71.739118
3002,41.880158,-71.564405
2203,41.97493,-71.651187
1170,41.774762,-71.620289
1923,41.514717,-71.729622
2303,41.510088,-71.378366
1653,41.518769,-71.167247
1414,41.958893,-71.475687
10531,41.478216,-71.322375
0,41.511864,-71.332175
6824,41.518673,-71.281685
8928,41.588565,-71.459811
3454,41.822761,-71.633605
217,41.964486,-71.651267
13495,41.966913,-71.428933
6199,41.915455,-71.449815
7121,41.586609,-71.259211
148,41.597055,-71.320666
2223,41.511222,-71.480535
207,41.456486,-71.638865
90,41.994278,-71.58549
6841,41.607962,-71.182556
8337,41.424019,-71.534277
1062,41.478083,-71.524717
6025,41.417567,-71.471851
12509,41.703849,-71.455568
9253,41.362146,-71.790893
1853,41.49892,-71.599892
271,41.444477,-71.703238
4446,41.975186,-71.544069
4802,41.81823,-71.409088
10941,41.840169,-71.390408
0,41.825593,-71.402239
3749,41.842661,-71.352438
4527,41.906288,-71.523811
4489,41.760748,-71.514647
4081,42.874824,-71.600533
1984,42.997287,-71.363518
1750,42.749263,-71.67567
1534,43.056895,-71.340635
1694,42.98453,-71.255104
1611,43.141274,-71.248197
639,42.997,-71.817788
1700,43.000369,-71.119162
5197,43.021515,-71.563462
977,43.116395,-71.595437
3010,42.749624,-71.585402
8955,42.760497,-71.409393
3101,42.846081,-71.468283
8883,42.869839,-71.387845
9745,42.852034,-71.519876
5989,42.818645,-71.673354
880,42.908885,-71.694199
11100,42.722323,-71.501176
6650,42.7821,-71.518366
1851,42.981209,-71.67752
1792,42.746257,-71.874434
4575,42.730992,-71.337075
11177,42.788267,-71.221725
657,42.896409,-71.768331
519,42.826723,-71.875416
