intensity,latitude,longitude
18817,40.889398,-74.045698
2891,40.874293,-74.029737
10606,40.891197,-73.972515
4414,40.843431,-74.034239
9005,40.877915,-74.0825
1835,41.009337,-73.941997
7559,40.847017,-73.997061
16078,40.249708,-74.053706
2169,40.201604,-74.012056
2713,40.204387,-74.149275
5178,40.444152,-74.136812
1411,40.335895,-73.985608
1410,40.897182,-74.70044
574,40.722434,-74.674902
3455,39.542599,-74.298174
6912,39.931536,-74.54372
17658,39.80727,-75.006883
6751,39.695889,-75.121457
4357,39.866356,-75.09467
1129,39.867201,-75.02977
2125,39.854412,-75.038467
2123,39.884825,-75.092667
3595,39.834292,-75.228355
2732,39.961394,-74.665922
41,39.649298,-74.858006
5689,39.971893,-75.057876
5020,39.586506,-74.563656
6299,39.387525,-74.515196
1281,39.018576,-74.888905
4470,39.318968,-74.588458
4273,39.027715,-74.929514
6250,38.998347,-74.843302
13756,39.438613,-75.260646
648,39.327866,-75.204035
79,39.269532,-74.949689
130,39.223596,-75.143169
13529,39.377041,-75.023374
193,39.568265,-74.849166
224,39.475732,-75.12798
175,39.462418,-75.29244
14856,39.494482,-75.00577
4403,39.34156,-74.480862
319,40.042379,-74.557037
3934,40.324357,-74.525526
3140,40.37002,-74.910161
4260,40.225747,-74.740906
11149,40.191174,-74.716603
7971,40.183615,-74.740319
12907,40.24934,-74.789968
3969,40.220669,-74.731201
7998,40.254018,-74.763385
891,40.004416,-74.591269
23776,40.077069,-74.19851
7601,39.902019,-74.152669
764,39.929146,-74.137504
3033,40.446779,-74.440293
16566,40.520494,-74.272943
11479,40.708226,-75.147073
14823,40.483638,-74.44246
12347,40.750636,-73.997177
33461,40.715776,-73.986211
29725,40.726399,-73.978633
42546,40.798601,-73.966622
12258,40.818267,-73.942856
22274,40.825288,-73.950045
20724,40.838792,-73.94283
19586,40.850482,-73.934051
16135,40.867076,-73.924312
10133,40.709341,-74.00254
16222,40.858314,-73.930494
2574,40.77596,-73.990341
14521,40.605965,-74.093535
19861,40.571768,-74.12595
8218,40.63265,-74.116148
19013,40.847394,-73.840583
29679,40.843267,-73.860417
28537,40.880678,-73.90654
1936,40.869594,-73.795848
15685,40.824018,-73.823469
23312,40.890964,-73.846239
22038,40.86861,-73.848137
1289,41.2457,-73.932909
13243,40.905448,-73.835253
790,41.038225,-73.710736
22181,40.945464,-73.880495
7263,40.959842,-73.88025
583,41.319679,-74.117639
455,41.525959,-74.387618
2645,41.203116,-74.002718
18037,41.446544,-74.478741
12814,41.317346,-74.199881
9119,41.111118,-74.07854
905,41.463529,-74.543423
783,41.02296,-73.928488
15647,41.118914,-74.048154
8003,40.784319,-73.731488
2649,40.621346,-73.75699
12474,40.74756,-73.938942
13627,40.772884,-73.926295
17127,40.762211,-73.931528
27464,40.64959,-73.934374
24243,40.618777,-73.984831
15843,40.694662,-73.966241
38660,40.712597,-73.953098
24731,40.671079,-73.936342
31945,40.599148,-73.99609
23800,40.680769,-73.949313
25240,40.632667,-73.996669
28766,40.641087,-74.016552
29818,40.69134,-73.927879
17508,40.72779,-73.947605
27527,40.597143,-73.973426
18551,40.577372,-73.988706
36677,40.646448,-73.956649
31058,40.601293,-73.944493
30831,40.622164,-73.96511
15562,40.677916,-74.005154
8808,40.657708,-74.004377
32903,40.639413,-73.900664
16789,40.70416,-73.921139
24510,40.679169,-73.9638
6569,40.647735,-73.879477
20299,40.768213,-73.827392
27523,40.751463,-73.820996
15657,40.739634,-73.79449
14670,40.730145,-73.82703
28275,40.749737,-73.853045
10720,40.763445,-73.872334
8365,40.765393,-73.893191
34993,40.700647,-73.889423
10511,40.657604,-73.844804
7216,40.684625,-73.849582
10940,40.700203,-73.836012
10423,40.698151,-73.786912
7543,40.746286,-73.638905
13759,40.649401,-73.582951
16355,40.701475,-73.621108
4293,40.680422,-73.584877
20155,40.601261,-73.761646
6417,40.594154,-73.791986
4767,40.590916,-73.809715
1398,40.552684,-73.924526
321,40.735995,-73.160805
247,40.882186,-73.558941
2944,40.955033,-72.825569
3709,40.752665,-73.378442
10047,40.925812,-72.64617
386,40.960725,-72.54988
4674,40.807616,-72.847518
4803,40.763164,-72.830344
127,40.969049,-72.462175
7916,40.794778,-72.875477
2673,41.064037,-72.430926
11641,42.937632,-74.173325
1040,42.294057,-73.825116
84,42.766038,-74.451615
286,42.730427,-74.359221
8978,42.784054,-73.726219
716,42.75447,-73.478427
73,42.946036,-74.279938
629,42.986022,-74.26301
933,42.884893,-74.356737
626,42.410272,-74.395734
10011,43.134351,-74.339632
714,43.011413,-74.103291
4872,43.024817,-74.403815
1412,43.167143,-74.261237
2061,42.54202,-74.326145
59,43.500221,-74.579544
8918,42.627836,-73.717842
346,42.761621,-74.383152
1167,42.424941,-74.578045
135,42.382017,-73.980862
21529,42.748588,-73.599536
6206,42.800534,-73.627434
4726,42.821216,-73.695525
190,43.475631,-74.28541
886,42.609999,-74.724749
3666,42.691516,-73.733751
4997,42.82134,-73.92093
14466,41.92272,-74.202811
106,42.247617,-74.115847
2572,41.746872,-74.466183
1184,41.992378,-73.993774
107,42.28697,-74.149542
455,42.300462,-74.423763
147,42.299624,-74.093387
1347,41.869399,-73.998805
661,42.109096,-73.561332
18777,41.539574,-74.057223
4143,41.562764,-74.170102
15874,41.701921,-73.911519
4153,41.650829,-74.699907
76,41.983183,-74.570105
513,41.672112,-75.013568
648,41.501481,-74.798632
299,41.69573,-74.664485
2475,41.798195,-74.736889
1643,41.940283,-74.739118
5389,41.37438,-74.624279
262,41.642818,-74.817545
1740,41.592057,-74.517419
6389,43.31116,-73.645286
1418,43.237078,-73.454506
1028,43.639585,-73.823628
151,43.179961,-73.409117
2698,43.358467,-73.330271
135,43.841891,-74.034467
224,43.935796,-74.167522
661,43.657553,-74.064185
41,43.908933,-73.67578
2055,43.83636,-73.553222
1946,43.53676,-73.365798
13086,44.703651,-73.472669
606,44.857044,-73.607875
353,44.927419,-74.602942
804,44.838194,-74.524672
1274,44.964539,-73.447083
1016,44.882767,-74.066008
256,44.960319,-73.939419
906,44.950821,-74.329
103,44.20725,-74.809746
741,43.963837,-73.583249
292,44.720027,-73.719234
559,44.214405,-73.608948
395,44.875376,-73.873665
208,44.285062,-73.40145
711,44.955224,-74.488146
1676,44.433107,-73.533246
222,44.70832,-73.90566
723,44.848324,-74.574605
2402,44.701391,-73.605439
1070,44.798893,-74.418686
423,44.774921,-74.657566
660,44.060043,-73.464841
530,44.563851,-74.524079
982,44.627099,-73.845851
569,44.560709,-73.738967
2097,44.817751,-73.516729
670,44.211345,-73.476221
538,44.372798,-73.892043
16895,42.922279,-76.558539
4786,43.081617,-75.766018
102,42.876725,-75.908639
1798,42.479575,-76.267918
1131,43.022862,-76.411872
2204,42.492411,-76.359185
9262,43.329276,-76.380655
2656,42.58367,-76.387923
1573,43.310917,-76.549843
930,43.353715,-76.149309
705,43.645775,-75.98168
617,43.258488,-76.614264
803,42.933186,-76.175147
13550,43.438798,-76.457454
2598,43.253687,-76.314375
2450,43.556184,-76.138199
641,43.568755,-75.977019
155,42.996557,-76.453627
866,43.32599,-76.661306
7753,43.073465,-76.105806
5190,43.012813,-76.163317
2961,43.038709,-76.075591
646,43.24388,-75.160287
1204,43.251266,-75.657668
2279,43.452005,-75.355443
524,42.744144,-75.143611
1518,42.854101,-74.590839
432,42.954345,-75.201657
903,43.320612,-74.961628
744,43.972929,-75.262309
1647,43.107462,-74.708431
328,42.757804,-74.999545
556,43.528032,-74.987121
2442,42.936895,-74.658658
4298,42.971061,-75.081209
3243,43.125689,-74.853291
481,43.638483,-75.286787
1713,43.164533,-75.267645
282,43.134514,-74.924889
2129,42.968801,-74.950576
32,42.596494,-75.198473
100,42.845704,-75.38046
5516,43.061915,-75.660092
675,43.594911,-75.248869
16678,43.215771,-75.461779
1784,43.043056,-74.63047
903,42.775008,-74.588678
1850,42.687707,-75.44229
570,42.687973,-75.615788
332,43.209569,-74.609995
1264,43.3205,-75.683918
585,43.032894,-75.512948
663,43.432843,-75.897509
850,43.11089,-75.277497
12814,43.141264,-75.154707
15212,43.968892,-75.906501
114,44.064621,-75.781086
3278,44.035974,-75.793813
1111,43.872576,-76.014735
554,44.26094,-75.613698
789,44.030078,-75.857573
513,44.498619,-75.311532
122,44.49743,-75.455993
1540,44.01129,-76.073698
121,43.743443,-76.11655
947,44.446082,-75.674198
934,44.150217,-75.318
671,43.81131,-76.216097
955,44.577138,-75.436852
962,44.193265,-75.954645
651,44.773868,-75.160958
7257,44.932334,-74.883932
323,44.04846,-75.434366
6143,44.672777,-75.482342
337,44.470543,-74.660706
933,44.164347,-75.718028
5312,44.65496,-74.926222
514,44.595966,-75.323464
300,44.428054,-75.373151
328,44.097456,-75.007653
814,44.754714,-74.810347
1167,42.223737,-75.532187
441,42.12963,-74.787804
230,42.273812,-74.756997
1379,42.042575,-75.822509
144,42.258166,-75.989587
1069,41.993662,-75.266006
420,42.339007,-74.666257
7699,42.165361,-76.001942
1470,42.056638,-75.778938
602,42.557188,-75.13213
703,42.403814,-75.395541
962,42.03006,-76.354752
5420,42.547866,-75.530855
7508,42.483412,-75.036892
479,42.262039,-75.252051
161,42.3767,-74.723609
2577,42.171041,-75.183316
220,42.455495,-75.898915
485,42.274969,-76.390479
8252,42.183203,-75.876048
7726,42.04187,-75.889077
3763,42.134123,-75.820206
11398,42.170436,-75.943434
710,42.920586,-78.250065
522,43.312726,-78.623166
2325,42.593154,-78.397461
2575,42.830674,-78.299709
9607,42.99619,-78.213412
418,42.802789,-78.453328
1586,42.475564,-78.488807
6158,42.484359,-79.317005
137,42.593878,-79.079302
1290,42.438404,-79.143107
490,42.629054,-78.185536
1685,42.648324,-78.548308
1336,42.563203,-79.067834
411,42.538233,-78.893008
4524,43.211161,-78.37677
255,43.335884,-78.72858
45,42.527686,-78.523981
67,42.766144,-78.523698
1032,42.700245,-78.674307
878,42.424674,-78.649832
1655,42.881493,-78.877484
8763,42.880078,-78.810469
3836,42.913959,-78.866025
7824,42.939576,-78.840793
7888,42.819372,-78.830952
5300,42.788675,-78.826431
9878,42.845738,-78.822076
